CA_name,YYYYQ_DOC,Mort_Amt
Edgewater             ,20081,340805.0
Edgewater             ,20082,300000.0
Edgewater             ,20083,275000.0
Edgewater             ,20084,318500.0
Edgewater             ,20091,344000.0
Edgewater             ,20092,300000.0
Edgewater             ,20093,300000.0
Edgewater             ,20094,330000.0
Edgewater             ,20101,305495.5
Edgewater             ,20102,303485.0
Edgewater             ,20103,320000.0
Edgewater             ,20104,333880.0
Edgewater             ,20111,253400.0
Edgewater             ,20112,260000.0
Edgewater             ,20113,313925.0
Edgewater             ,20114,328190.5
Edgewater             ,20121,326700.0
Edgewater             ,20122,298000.0
Edgewater             ,20123,317803.5
Edgewater             ,20124,318250.0
Edison Park           ,20051,220000.0
Edison Park           ,20052,245000.0
Edison Park           ,20053,208700.0
Edison Park           ,20054,206046.825
Edison Park           ,20061,156000.0
Edison Park           ,20062,190000.0
Edison Park           ,20063,164000.0
Edison Park           ,20064,222750.0
Edison Park           ,20071,193900.0
Edison Park           ,20072,168500.0
Edison Park           ,20073,200000.0
Edison Park           ,20074,230000.0
Edison Park           ,20081,272000.0
Edison Park           ,20082,232000.0
Edison Park           ,20083,175000.0
Edison Park           ,20084,232300.0
Edison Park           ,20091,260000.0
Edison Park           ,20092,273129.0
Edison Park           ,20093,236123.0
Edison Park           ,20094,233612.0
Edison Park           ,20101,261880.0
Edison Park           ,20102,243016.0
Edison Park           ,20103,248000.0
Edison Park           ,20104,260385.0
Edison Park           ,20111,228000.0
Edison Park           ,20112,224169.0
Edison Park           ,20113,243728.0
Edison Park           ,20114,235200.0
Edison Park           ,20121,253300.0
Edison Park           ,20122,239332.0
Edison Park           ,20123,250000.0
Edison Park           ,20124,235000.0
Englewood             ,20051,80750.0
Englewood             ,20052,94750.0
Englewood             ,20053,91150.0
Englewood             ,20054,94400.0
Englewood             ,20061,96000.0
Englewood             ,20062,97875.0
Englewood             ,20063,106400.0
Englewood             ,20064,100000.0
Englewood             ,20071,114000.0
Englewood             ,20072,104660.44
Englewood             ,20073,110625.0
Englewood             ,20074,130000.0
Englewood             ,20081,126800.0
Englewood             ,20082,135113.0
Englewood             ,20083,195000.0
Englewood             ,20084,180000.0
Englewood             ,20091,169492.5
Englewood             ,20092,157500.0
Englewood             ,20093,136000.0
Englewood             ,20094,142111.0
Englewood             ,20101,94627.0
Englewood             ,20102,94000.0
Englewood             ,20103,119321.5
Englewood             ,20104,115500.0
Englewood             ,20111,150000.0
Englewood             ,20112,77200.0
Englewood             ,20113,95243.0
Englewood             ,20114,80400.0
Englewood             ,20121,124800.0
Englewood             ,20122,100000.0
Englewood             ,20123,121037.0
Englewood             ,20124,82500.0
Forest Glen           ,20051,250000.0
Forest Glen           ,20052,247750.0
Forest Glen           ,20053,250000.0
Forest Glen           ,20054,230000.0
Forest Glen           ,20061,223405.0
Forest Glen           ,20062,200000.0
Forest Glen           ,20063,207600.0
Forest Glen           ,20064,240000.0
Forest Glen           ,20071,251875.0
Forest Glen           ,20072,250000.0
Forest Glen           ,20073,200000.0
Forest Glen           ,20074,256000.0
Forest Glen           ,20081,305000.0
Forest Glen           ,20082,240000.0
Forest Glen           ,20083,250000.0
Forest Glen           ,20084,282000.0
Forest Glen           ,20091,288000.0
Forest Glen           ,20092,280000.0
Forest Glen           ,20093,270000.0
Forest Glen           ,20094,262773.5
Forest Glen           ,20101,294000.0
Forest Glen           ,20102,294900.0
Forest Glen           ,20103,300000.0
Forest Glen           ,20104,290000.0
Forest Glen           ,20111,264000.0
Forest Glen           ,20112,243125.0
Forest Glen           ,20113,260000.0
Forest Glen           ,20114,281000.0
Forest Glen           ,20121,277821.0
Forest Glen           ,20122,271922.655
Forest Glen           ,20123,299900.0
Forest Glen           ,20124,273000.0
Fuller Park           ,20051,89150.0
Fuller Park           ,20052,74100.0
Fuller Park           ,20053,108000.0
Fuller Park           ,20054,72500.0
Fuller Park           ,20061,90875.0
Fuller Park           ,20062,112250.0
Fuller Park           ,20063,106250.0
Fuller Park           ,20064,102600.0
Fuller Park           ,20071,137050.0
Fuller Park           ,20072,98350.0
Fuller Park           ,20073,99750.0
Fuller Park           ,20074,129000.0
Fuller Park           ,20081,104000.0
Fuller Park           ,20082,116600.0
Fuller Park           ,20083,246519.945
Fuller Park           ,20084,50000.0
Fuller Park           ,20091,337500.0
Fuller Park           ,20092,165000.0
Fuller Park           ,20093,127500.0
Fuller Park           ,20094,171000.0
Fuller Park           ,20101,128000.0
Fuller Park           ,20102,111925.0
Fuller Park           ,20103,255683.5
Fuller Park           ,20104,80500.0
Fuller Park           ,20112,82433.0
Fuller Park           ,20113,92981.0
Fuller Park           ,20114,272902.0
Fuller Park           ,20122,67093.0
Fuller Park           ,20123,111235.29
Fuller Park           ,20124,66133.0
Gage Park             ,20051,139750.0
Gage Park             ,20052,136000.0
Gage Park             ,20053,135000.0
Gage Park             ,20054,135112.96000000002
Gage Park             ,20061,141500.0
Gage Park             ,20062,150250.0
Gage Park             ,20063,141825.0
Gage Park             ,20064,150000.0
Gage Park             ,20071,172500.0
Gage Park             ,20072,155000.0
Gage Park             ,20073,150000.0
Gage Park             ,20074,150000.0
Gage Park             ,20081,160250.0
Gage Park             ,20082,142480.0
Gage Park             ,20083,142759.0
Gage Park             ,20084,131250.0
Gage Park             ,20091,113000.0
Gage Park             ,20092,102700.0
Gage Park             ,20093,112062.0
Gage Park             ,20094,103920.0
Gage Park             ,20101,94500.0
Gage Park             ,20102,103550.0
Gage Park             ,20103,101759.0
Gage Park             ,20104,95715.0
